"symbol","div_or_split","record_date","payment_date","amount","description"
"WELL","dividend","2021-05-11 00:00:00","2021-05-20 00:00:00",0.61,"Ordinary Shares"
"WELL","dividend","2021-08-12 00:00:00","2021-08-19 00:00:00",0.61,"Ordinary Shares"
"WELL","dividend","2021-11-16 00:00:00","2021-11-23 00:00:00",0.61,"Ordinary Shares"
"WELL","dividend","2022-03-01 00:00:00","2022-03-08 00:00:00",0.61,"Ordinary Shares"
"WELL","dividend","2022-05-24 00:00:00","2022-05-31 00:00:00",0.61,"Ordinary Shares"
"WERN","dividend","2022-01-03 00:00:00","2022-01-18 00:00:00",0.12,"Ordinary Shares"
"WERN","dividend","2022-04-18 00:00:00","2022-05-03 00:00:00",0.12,"Ordinary Shares"
"WERN","dividend","2022-07-05 00:00:00","2022-07-19 00:00:00",0.13,"Ordinary Shares"
"WES","dividend","2021-11-01 00:00:00","2021-11-12 00:00:00",0.323,"Unit"
"WES","dividend","2022-01-31 00:00:00","2022-02-14 00:00:00",0.327,"Unit"
"WES","dividend","2022-05-02 00:00:00","2022-05-13 00:00:00",0.5,"Unit"
"WFC","dividend","2021-05-07 00:00:00","2021-06-01 00:00:00",0.1,"Ordinary Shares"
"WFC","dividend","2021-08-06 00:00:00","2021-09-01 00:00:00",0.2,"Ordinary Shares"
"WFC","dividend","2021-11-05 00:00:00","2021-12-01 00:00:00",0.2,"Ordinary Shares"
"WFC","dividend","2022-02-04 00:00:00","2022-03-01 00:00:00",0.25,"Ordinary Shares"
"WFC","dividend","2022-05-06 00:00:00","2022-06-01 00:00:00",0.25,"Ordinary Shares"
"WFG","dividend","2022-06-22 00:00:00","2022-07-08 00:00:00",0.3,"Ordinary Shares"
"WH","dividend","2021-12-15 00:00:00","2021-12-29 00:00:00",0.32,"Ordinary Shares"
"WH","dividend","2022-03-21 00:00:00","2022-03-31 00:00:00",0.32,"Ordinary Shares"
"WH","dividend","2022-06-15 00:00:00","2022-06-29 00:00:00",0.32,"Ordinary Shares"
"WHR","dividend","2021-11-19 00:00:00","2021-12-15 00:00:00",1.4,"Ordinary Shares"
"WHR","dividend","2022-02-25 00:00:00","2022-03-15 00:00:00",1.75,"Ordinary Shares"
"WHR","dividend","2022-05-20 00:00:00","2022-06-15 00:00:00",1.75,"Ordinary Shares"
"WINA","dividend","2021-05-12 00:00:00","2021-06-01 00:00:00",0.45,"Ordinary Shares"
"WINA","dividend","2021-08-11 00:00:00","2021-09-01 00:00:00",0.45,"Ordinary Shares"
"WINA","dividend","2021-11-10 00:00:00","2021-12-01 00:00:00",7.5,"Ordinary Shares"
"WINA","dividend","2022-02-09 00:00:00","2022-03-01 00:00:00",0.45,"Ordinary Shares"
"WINA","dividend","2022-05-11 00:00:00","2022-06-01 00:00:00",0.7,"Ordinary Shares"
"WIP","dividend","2022-03-02 00:00:00","2022-03-07 00:00:00",0.636626,"SPDR Citi International Government Inflation-Protected Bond ETF"
"WIP","dividend","2022-05-03 00:00:00","2022-05-06 00:00:00",0.360621,"SPDR Citi International Government Inflation-Protected Bond ETF"
"WIRE","dividend","2022-01-07 00:00:00","2022-01-21 00:00:00",0.02,"Ordinary Shares"
"WIRE","dividend","2022-04-01 00:00:00","2022-04-14 00:00:00",0.02,"Ordinary Shares"
"WIRE","dividend","2022-07-01 00:00:00","2022-07-15 00:00:00",0.02,"Ordinary Shares"
"WLK","dividend","2022-03-01 00:00:00","2022-03-15 00:00:00",0.2975,"Ordinary Shares"
"WLK","dividend","2022-05-23 00:00:00","2022-06-07 00:00:00",0.2975,"Ordinary Shares"
