timestamp,symbol,vwap,delayed_trade_date
2022-06-27 16:00:00,AAPL,142.533661,2022-06-27
2022-06-27 17:00:00,AAPL,142.040135,2022-06-27
2022-06-27 18:00:00,AAPL,141.769125,2022-06-27
2022-06-27 19:00:00,AAPL,141.412185,2022-06-27
2022-06-28 13:00:00,AAPL,142.824692,2022-06-28
2022-06-28 14:00:00,AAPL,141.087146,2022-06-28
2022-06-28 15:00:00,AAPL,139.878429,2022-06-28
2022-06-28 16:00:00,AAPL,139.095467,2022-06-28
2022-06-28 17:00:00,AAPL,138.832323,2022-06-28
2022-06-28 18:00:00,AAPL,138.091545,2022-06-28
2022-06-28 19:00:00,AAPL,137.635581,2022-06-28
2022-06-29 13:00:00,AAPL,137.926966,2022-06-29
2022-06-29 14:00:00,AAPL,139.786246,2022-06-29
2022-06-29 15:00:00,AAPL,139.916454,2022-06-29
2022-06-29 16:00:00,AAPL,139.221637,2022-06-29
2022-06-29 17:00:00,AAPL,139.16526,2022-06-29
2022-06-29 18:00:00,AAPL,139.668715,2022-06-29
2022-06-29 19:00:00,AAPL,139.385301,2022-06-29
2022-06-30 13:00:00,AAPL,136.29396,2022-06-30
2022-06-30 14:00:00,AAPL,134.696106,2022-06-30
2022-06-30 15:00:00,AAPL,136.398956,2022-06-30
2022-06-30 16:00:00,AAPL,137.479418,2022-06-30
2022-06-30 17:00:00,AAPL,137.462248,2022-06-30
2022-06-30 18:00:00,AAPL,137.233624,2022-06-30
2022-06-30 19:00:00,AAPL,136.40923,2022-06-30
2022-07-01 13:00:00,AAPL,136.994401,2022-07-01
2022-07-01 14:00:00,AAPL,136.600987,2022-07-01
2022-07-01 15:00:00,AAPL,136.692619,2022-07-01
2022-07-01 16:00:00,AAPL,136.737259,2022-07-01
2022-07-01 17:00:00,AAPL,137.044465,2022-07-01
2022-07-01 18:00:00,AAPL,138.026472,2022-07-01
2022-07-01 19:00:00,AAPL,138.511431,2022-07-01
2022-07-05 13:00:00,AAPL,137.924443,2022-07-05
2022-07-05 14:00:00,AAPL,138.751737,2022-07-05
2022-07-05 15:00:00,AAPL,138.979109,2022-07-05
2022-07-05 16:00:00,AAPL,139.491426,2022-07-05
2022-07-05 17:00:00,AAPL,139.780015,2022-07-05
2022-07-05 18:00:00,AAPL,140.825272,2022-07-05
2022-07-05 19:00:00,AAPL,141.205724,2022-07-05
2022-07-06 13:00:00,AAPL,141.885555,2022-07-06
2022-07-06 14:00:00,AAPL,142.709711,2022-07-06
2022-07-06 15:00:00,AAPL,141.566136,2022-07-06
2022-07-06 16:00:00,AAPL,141.82654,2022-07-06
2022-07-06 17:00:00,AAPL,142.270421,2022-07-06
2022-07-06 18:00:00,AAPL,142.930108,2022-07-06
2022-07-06 19:00:00,AAPL,143.282701,2022-07-06
2022-07-06 20:00:00,AAPL,142.96,2022-07-06
2022-07-07 13:00:00,AAPL,144.493583,2022-07-07
2022-07-07 14:00:00,AAPL,145.517641,2022-07-07
2022-07-07 15:00:00,AAPL,145.359225,2022-07-07
2022-07-07 16:00:00,AAPL,145.75418,2022-07-07
2022-07-07 17:00:00,AAPL,145.985542,2022-07-07
2022-07-07 18:00:00,AAPL,146.204847,2022-07-07
2022-07-07 19:00:00,AAPL,146.34456,2022-07-07
2022-07-07 20:00:00,AAPL,146.34,2022-07-07
2022-07-08 13:00:00,AAPL,145.677805,2022-07-08
2022-07-08 14:00:00,AAPL,146.594157,2022-07-08
2022-07-08 15:00:00,AAPL,147.154008,2022-07-08
2022-07-08 16:00:00,AAPL,146.271532,2022-07-08
2022-07-08 17:00:00,AAPL,146.419559,2022-07-08
2022-07-08 18:00:00,AAPL,147.240561,2022-07-08
2022-07-08 19:00:00,AAPL,147.232,2022-07-08
2022-07-08 20:00:00,AAPL,146.988333,2022-07-08
2022-07-11 13:00:00,AAPL,144.766125,2022-07-11
2022-07-11 14:00:00,AAPL,144.827999,2022-07-11
2022-07-11 15:00:00,AAPL,145.275593,2022-07-11
2022-07-11 16:00:00,AAPL,145.334479,2022-07-11
2022-07-11 17:00:00,AAPL,146.167927,2022-07-11
2022-07-11 18:00:00,AAPL,145.836929,2022-07-11
2022-07-11 19:00:00,AAPL,144.865415,2022-07-11
2022-07-12 13:00:00,AAPL,146.916807,2022-07-12
2022-07-12 14:00:00,AAPL,146.571713,2022-07-12
2022-07-12 15:00:00,AAPL,147.647332,2022-07-12
2022-07-12 16:00:00,AAPL,147.946864,2022-07-12
2022-07-12 17:00:00,AAPL,147.799435,2022-07-12
2022-07-12 18:00:00,AAPL,147.362202,2022-07-12
2022-07-12 19:00:00,AAPL,145.866363,2022-07-12
2022-06-09 13:00:00,MPC,112.141465,2022-06-09
2022-06-09 14:00:00,MPC,112.993116,2022-06-09
2022-06-09 15:00:00,MPC,112.582441,2022-06-09
2022-06-09 16:00:00,MPC,112.684299,2022-06-09
2022-06-09 17:00:00,MPC,112.878823,2022-06-09
2022-06-09 18:00:00,MPC,113.08038,2022-06-09
2022-06-09 19:00:00,MPC,112.141896,2022-06-09
2022-06-10 13:00:00,MPC,109.738675,2022-06-10
2022-06-10 14:00:00,MPC,108.661736,2022-06-10
2022-06-10 15:00:00,MPC,107.823429,2022-06-10
2022-06-10 16:00:00,MPC,107.529909,2022-06-10
2022-06-10 17:00:00,MPC,107.781925,2022-06-10
2022-06-10 18:00:00,MPC,108.376519,2022-06-10
2022-06-10 19:00:00,MPC,109.084646,2022-06-10
2022-06-13 13:00:00,MPC,104.007203,2022-06-13
2022-06-13 14:00:00,MPC,102.501594,2022-06-13
2022-06-13 15:00:00,MPC,102.616372,2022-06-13
2022-06-13 16:00:00,MPC,104.040825,2022-06-13
2022-06-13 17:00:00,MPC,103.672354,2022-06-13
2022-06-13 18:00:00,MPC,103.605245,2022-06-13
2022-06-13 19:00:00,MPC,102.529059,2022-06-13
2022-06-13 20:00:00,MPC,101.36,2022-06-13
2022-06-14 13:00:00,MPC,105.30414,2022-06-14
2022-06-14 14:00:00,MPC,106.084718,2022-06-14
2022-06-14 15:00:00,MPC,105.431151,2022-06-14
