eth_cust_address,address,symbol,target_position_value,date_time
0x10d4b16033c515a3abea03d39183904b1a8a63e6,0x10D4b16033C515A3ABeA03D39183904b1a8A63E6,WMT,0.030,2021-12-31 02:11:59
0x10d4b16033c515a3abea03d39183904b1a8a63e6,0x10D4b16033C515A3ABeA03D39183904b1a8A63E6,INTC,0.029,2021-12-31 02:11:59
0x10d4b16033c515a3abea03d39183904b1a8a63e6,0x10D4b16033C515A3ABeA03D39183904b1a8A63E6,EOG,0.029,2021-12-31 02:11:59
0x10d4b16033c515a3abea03d39183904b1a8a63e6,0x10D4b16033C515A3ABeA03D39183904b1a8A63E6,DKS,0.028,2021-12-31 02:11:59
0x10d4b16033c515a3abea03d39183904b1a8a63e6,0x10D4b16033C515A3ABeA03D39183904b1a8A63E6,MU,0.027,2021-12-31 02:11:59
0x10d4b16033c515a3abea03d39183904b1a8a63e6,0x10D4b16033C515A3ABeA03D39183904b1a8A63E6,C,0.025,2021-12-31 02:11:59
0x10d4b16033c515a3abea03d39183904b1a8a63e6,0x10D4b16033C515A3ABeA03D39183904b1a8A63E6,RSX,0.024,2021-12-31 02:11:59
0x10d4b16033c515a3abea03d39183904b1a8a63e6,0x10D4b16033C515A3ABeA03D39183904b1a8A63E6,ETHUSDT,0.021,2021-12-31 02:11:59
0x10d4b16033c515a3abea03d39183904b1a8a63e6,0x10D4b16033C515A3ABeA03D39183904b1a8A63E6,ASO,0.021,2021-12-31 02:11:59
0x10d4b16033c515a3abea03d39183904b1a8a63e6,0x10D4b16033C515A3ABeA03D39183904b1a8A63E6,HOG,0.020,2021-12-31 02:11:59
0x10d4b16033c515a3abea03d39183904b1a8a63e6,0x10D4b16033C515A3ABeA03D39183904b1a8A63E6,STAR,0.020,2021-12-31 02:11:59
0x10d4b16033c515a3abea03d39183904b1a8a63e6,0x10D4b16033C515A3ABeA03D39183904b1a8A63E6,VBK,0.020,2021-12-31 02:11:59
0x10d4b16033c515a3abea03d39183904b1a8a63e6,0x10D4b16033C515A3ABeA03D39183904b1a8A63E6,SCHE,0.019,2021-12-31 02:11:59
0x10d4b16033c515a3abea03d39183904b1a8a63e6,0x10D4b16033C515A3ABeA03D39183904b1a8A63E6,GS,0.019,2021-12-31 02:11:59
0x10d4b16033c515a3abea03d39183904b1a8a63e6,0x10D4b16033C515A3ABeA03D39183904b1a8A63E6,RTX,0.019,2021-12-31 02:11:59
0x10d4b16033c515a3abea03d39183904b1a8a63e6,0x10D4b16033C515A3ABeA03D39183904b1a8A63E6,MRK,0.019,2021-12-31 02:11:59
0x10d4b16033c515a3abea03d39183904b1a8a63e6,0x10D4b16033C515A3ABeA03D39183904b1a8A63E6,DRI,0.019,2021-12-31 02:11:59
0x10d4b16033c515a3abea03d39183904b1a8a63e6,0x10D4b16033C515A3ABeA03D39183904b1a8A63E6,ATVI,0.017,2021-12-31 02:11:59
0x10d4b16033c515a3abea03d39183904b1a8a63e6,0x10D4b16033C515A3ABeA03D39183904b1a8A63E6,PENN,0.014,2021-12-31 02:11:59
0x10d4b16033c515a3abea03d39183904b1a8a63e6,0x10D4b16033C515A3ABeA03D39183904b1a8A63E6,DOCU,0.012,2021-12-31 02:11:59
0x10d4b16033c515a3abea03d39183904b1a8a63e6,0x10D4b16033C515A3ABeA03D39183904b1a8A63E6,KAR,0.010,2021-12-31 02:11:59
0x10d4b16033c515a3abea03d39183904b1a8a63e6,0x10D4b16033C515A3ABeA03D39183904b1a8A63E6,AEO,0.010,2021-12-31 02:11:59
0x10d4b16033c515a3abea03d39183904b1a8a63e6,0x10D4b16033C515A3ABeA03D39183904b1a8A63E6,GOLD,0.010,2021-12-31 02:11:59
0x10d4b16033c515a3abea03d39183904b1a8a63e6,0x10D4b16033C515A3ABeA03D39183904b1a8A63E6,BTCUSDT,0.008,2021-12-31 02:11:59
0x10d4b16033c515a3abea03d39183904b1a8a63e6,0x10D4b16033C515A3ABeA03D39183904b1a8A63E6,GRWG,0.006,2021-12-31 02:11:59
0x116ad9501fc710d133a30e43797222c41821aca6,0x116Ad9501FC710d133A30E43797222C41821ACa6,SLM,0.100,2022-02-16 14:20:29
0x116ad9501fc710d133a30e43797222c41821aca6,0x116Ad9501FC710d133A30E43797222C41821ACa6,FLYW,0.100,2022-02-16 14:20:29
0x116ad9501fc710d133a30e43797222c41821aca6,0x116Ad9501FC710d133A30E43797222C41821ACa6,ADPT,0.100,2022-02-16 14:20:29
0x116ad9501fc710d133a30e43797222c41821aca6,0x116Ad9501FC710d133A30E43797222C41821ACa6,MU,0.100,2022-02-16 14:20:29
0x116ad9501fc710d133a30e43797222c41821aca6,0x116Ad9501FC710d133A30E43797222C41821ACa6,MSFT,0.100,2022-02-16 14:20:29
0x116ad9501fc710d133a30e43797222c41821aca6,0x116Ad9501FC710d133A30E43797222C41821ACa6,FB,0.100,2022-02-16 14:20:29
0x116ad9501fc710d133a30e43797222c41821aca6,0x116Ad9501FC710d133A30E43797222C41821ACa6,APO,0.100,2022-02-16 14:20:29
