symbol,market_entry_date,market_entry_date_time,vwap
ABNB,2022-05-02,2022-05-02 23:00:00+00:00,153.423148
ABNB,2022-05-04,2022-05-04 16:00:00+00:00,147.714979
ABNB,2022-05-09,2022-05-09 20:00:00+00:00,119.377506
ABNB,2022-05-10,2022-05-10 18:00:00+00:00,116.969249
ABNB,2022-05-11,2022-05-11 14:00:00+00:00,120.728824
ABNB,2022-05-18,2022-05-18 20:00:00+00:00,108.101776
ABNB,2022-05-26,2022-05-26 20:00:00+00:00,114.299643
ABNB,2022-06-01,2022-06-01 16:00:00+00:00,115.188376
ABNB,2022-06-24,2022-06-24 14:00:00+00:00,115.188376
UBER,2021-12-30,2021-12-30 15:00:00+00:00,42.739807
UBER,2021-12-31,2021-12-31 15:00:00+00:00,42.739807
UBER,2022-01-18,2022-01-18 23:00:00+00:00,38.473381
UBER,2022-02-09,2022-02-09 15:00:00+00:00,39.42718
UBER,2022-03-01,2022-03-01 15:00:00+00:00,34.84263
UBER,2022-03-02,2022-03-02 21:00:00+00:00,34.038274
UBER,2022-03-04,2022-03-04 16:00:00+00:00,29.818446
UBER,2022-03-11,2022-03-11 21:00:00+00:00,30.75891
UBER,2022-03-22,2022-03-22 14:00:00+00:00,32.824404
UBER,2022-03-23,2022-03-23 18:00:00+00:00,33.062605
UBER,2022-03-29,2022-03-29 19:00:00+00:00,37.266788
UBER,2022-04-05,2022-04-05 15:00:00+00:00,35.097799
UBER,2022-04-11,2022-04-11 20:00:00+00:00,32.039884
UBER,2022-04-18,2022-04-18 14:00:00+00:00,32.248982
UBER,2022-04-27,2022-04-27 19:00:00+00:00,30.84144
UBER,2022-04-28,2022-04-28 20:00:00+00:00,32.794903
UBER,2022-04-22,2022-04-22 16:00:00+00:00,31.23384
UBER,2022-05-02,2022-05-02 23:00:00+00:00,30.428201
UBER,2022-05-04,2022-05-04 16:00:00+00:00,27.127037
UBER,2022-05-09,2022-05-09 20:00:00+00:00,23.133866
UBER,2022-05-10,2022-05-10 18:00:00+00:00,23.946739
UBER,2022-05-11,2022-05-11 14:00:00+00:00,23.737057
UBER,2022-05-18,2022-05-18 20:00:00+00:00,22.459192
UBER,2022-05-26,2022-05-26 20:00:00+00:00,23.099182
UBER,2022-06-01,2022-06-01 16:00:00+00:00,22.693824
UBER,2022-06-24,2022-06-24 14:00:00+00:00,22.693824
SKLUSD,2021-12-30,2021-12-30 15:00:00+00:00,0.0
SKLUSD,2021-12-31,2021-12-31 15:00:00+00:00,0.0
SKLUSD,2022-01-18,2022-01-18 23:00:00+00:00,0.0
SKLUSD,2022-02-09,2022-02-09 15:00:00+00:00,0.0
SKLUSD,2022-03-01,2022-03-01 15:00:00+00:00,0.0
SKLUSD,2022-03-02,2022-03-02 21:00:00+00:00,0.0
SKLUSD,2022-03-04,2022-03-04 16:00:00+00:00,0.0
SKLUSD,2022-03-11,2022-03-11 21:00:00+00:00,0.0
SKLUSD,2022-03-22,2022-03-22 14:00:00+00:00,0.0
SKLUSD,2022-03-23,2022-03-23 18:00:00+00:00,0.0
SKLUSD,2022-03-29,2022-03-29 19:00:00+00:00,0.0
SKLUSD,2022-04-05,2022-04-05 15:00:00+00:00,0.0
SKLUSD,2022-04-11,2022-04-11 20:00:00+00:00,0.0
SKLUSD,2022-04-18,2022-04-18 14:00:00+00:00,0.0
SKLUSD,2022-04-27,2022-04-27 19:00:00+00:00,0.0
SKLUSD,2022-04-28,2022-04-28 20:00:00+00:00,0.0
SKLUSD,2022-04-22,2022-04-22 16:00:00+00:00,0.0
SKLUSD,2022-05-02,2022-05-02 23:00:00+00:00,0.0
SKLUSD,2022-05-04,2022-05-04 16:00:00+00:00,0.0
SKLUSD,2022-05-09,2022-05-09 20:00:00+00:00,0.0
SKLUSD,2022-05-10,2022-05-10 18:00:00+00:00,0.0
SKLUSD,2022-05-11,2022-05-11 14:00:00+00:00,0.0
SKLUSD,2022-05-18,2022-05-18 20:00:00+00:00,0.0
SKLUSD,2022-05-26,2022-05-26 20:00:00+00:00,0.0
SKLUSD,2022-06-01,2022-06-01 16:00:00+00:00,0.0
SKLUSD,2022-06-24,2022-06-24 14:00:00+00:00,0.0
FNV,2021-12-30,2021-12-30 15:00:00+00:00,137.915748
FNV,2021-12-31,2021-12-31 15:00:00+00:00,137.915748
FNV,2022-01-18,2022-01-18 23:00:00+00:00,137.915748
FNV,2022-02-09,2022-02-09 15:00:00+00:00,138.592361
FNV,2022-03-01,2022-03-01 15:00:00+00:00,152.30573
FNV,2022-03-02,2022-03-02 21:00:00+00:00,151.238743
FNV,2022-03-04,2022-03-04 16:00:00+00:00,153.916167
FNV,2022-03-11,2022-03-11 21:00:00+00:00,158.05
FNV,2022-03-22,2022-03-22 14:00:00+00:00,155.056347
FNV,2022-03-23,2022-03-23 18:00:00+00:00,158.051716
FNV,2022-03-29,2022-03-29 19:00:00+00:00,156.822445
FNV,2022-04-05,2022-04-05 15:00:00+00:00,162.292356
FNV,2022-04-11,2022-04-11 20:00:00+00:00,165.78038
FNV,2022-04-18,2022-04-18 14:00:00+00:00,167.869153
FNV,2022-04-27,2022-04-27 19:00:00+00:00,150.407039
FNV,2022-04-28,2022-04-28 20:00:00+00:00,153.09
FNV,2022-04-22,2022-04-22 16:00:00+00:00,159.569293
FNV,2022-05-02,2022-05-02 23:00:00+00:00,159.569293
FNV,2022-05-04,2022-05-04 16:00:00+00:00,152.784792
FNV,2022-05-09,2022-05-09 20:00:00+00:00,141.518568
FNV,2022-05-10,2022-05-10 18:00:00+00:00,141.408351
FNV,2022-05-11,2022-05-11 14:00:00+00:00,142.426995
FNV,2022-05-18,2022-05-18 20:00:00+00:00,133.48
FNV,2022-05-26,2022-05-26 20:00:00+00:00,140.908705
FNV,2022-06-01,2022-06-01 16:00:00+00:00,142.232215
FNV,2022-06-24,2022-06-24 14:00:00+00:00,142.232215
WE,2021-12-30,2021-12-30 15:00:00+00:00,8.917039
WE,2021-12-31,2021-12-31 15:00:00+00:00,8.917039
WE,2022-01-18,2022-01-18 23:00:00+00:00,8.917039
WE,2022-02-09,2022-02-09 15:00:00+00:00,6.973434
WE,2022-03-01,2022-03-01 15:00:00+00:00,6.32751
WE,2022-03-02,2022-03-02 21:00:00+00:00,6.32
WE,2022-03-04,2022-03-04 16:00:00+00:00,5.725187
WE,2022-03-11,2022-03-11 21:00:00+00:00,5.06489
WE,2022-03-22,2022-03-22 14:00:00+00:00,6.527135
WE,2022-03-23,2022-03-23 18:00:00+00:00,6.282717
WE,2022-03-29,2022-03-29 19:00:00+00:00,7.069069
WE,2022-04-05,2022-04-05 15:00:00+00:00,6.895818
WE,2022-04-11,2022-04-11 20:00:00+00:00,6.25
WE,2022-04-18,2022-04-18 14:00:00+00:00,5.94209
WE,2022-04-27,2022-04-27 19:00:00+00:00,6.992075
WE,2022-04-28,2022-04-28 20:00:00+00:00,7.179954
WE,2022-04-22,2022-04-22 16:00:00+00:00,6.515956
WE,2022-05-02,2022-05-02 23:00:00+00:00,6.63
WE,2022-05-04,2022-05-04 16:00:00+00:00,6.658448
WE,2022-05-09,2022-05-09 20:00:00+00:00,6.220202
WE,2022-05-10,2022-05-10 18:00:00+00:00,5.696293
WE,2022-05-11,2022-05-11 14:00:00+00:00,5.634673
WE,2022-05-18,2022-05-18 20:00:00+00:00,6.555854
WE,2022-05-26,2022-05-26 20:00:00+00:00,7.0
WE,2022-06-01,2022-06-01 16:00:00+00:00,6.945005
WE,2022-06-24,2022-06-24 14:00:00+00:00,6.945005
COIN,2021-12-30,2021-12-30 15:00:00+00:00,256.382755
COIN,2021-12-31,2021-12-31 15:00:00+00:00,256.382755
COIN,2022-01-18,2022-01-18 23:00:00+00:00,222.362743
COIN,2022-02-09,2022-02-09 15:00:00+00:00,213.320894
COIN,2022-03-01,2022-03-01 15:00:00+00:00,198.233928
COIN,2022-03-02,2022-03-02 21:00:00+00:00,194.459298
COIN,2022-03-04,2022-03-04 16:00:00+00:00,167.451998
COIN,2022-03-11,2022-03-11 21:00:00+00:00,160.225643
COIN,2022-03-22,2022-03-22 14:00:00+00:00,185.392663
COIN,2022-03-23,2022-03-23 18:00:00+00:00,183.210925
COIN,2022-03-29,2022-03-29 19:00:00+00:00,205.136149
COIN,2022-04-05,2022-04-05 15:00:00+00:00,180.386956
COIN,2022-04-11,2022-04-11 20:00:00+00:00,153.849929
COIN,2022-04-18,2022-04-18 14:00:00+00:00,144.241952
COIN,2022-04-27,2022-04-27 19:00:00+00:00,122.686355
COIN,2022-04-28,2022-04-28 20:00:00+00:00,122.594717
COIN,2022-04-22,2022-04-22 16:00:00+00:00,133.43747
COIN,2022-05-02,2022-05-02 23:00:00+00:00,121.379376
COIN,2022-05-04,2022-05-04 16:00:00+00:00,120.535557
COIN,2022-05-09,2022-05-09 20:00:00+00:00,83.708045
COIN,2022-05-10,2022-05-10 18:00:00+00:00,76.606253
COIN,2022-05-11,2022-05-11 14:00:00+00:00,56.595475
COIN,2022-05-18,2022-05-18 20:00:00+00:00,63.019094
COIN,2022-05-26,2022-05-26 20:00:00+00:00,69.866463
COIN,2022-06-01,2022-06-01 16:00:00+00:00,68.887368
COIN,2022-06-24,2022-06-24 14:00:00+00:00,68.887368
CRM,2021-12-30,2021-12-30 15:00:00+00:00,255.34476
CRM,2021-12-31,2021-12-31 15:00:00+00:00,255.34476
CRM,2022-01-18,2022-01-18 23:00:00+00:00,226.279719
CRM,2022-02-09,2022-02-09 15:00:00+00:00,218.596151
CRM,2022-03-01,2022-03-01 15:00:00+00:00,211.548115
CRM,2022-03-02,2022-03-02 21:00:00+00:00,210.354315
CRM,2022-03-04,2022-03-04 16:00:00+00:00,200.156994
CRM,2022-03-11,2022-03-11 21:00:00+00:00,197.900099
CRM,2022-03-22,2022-03-22 14:00:00+00:00,216.516237
CRM,2022-03-23,2022-03-23 18:00:00+00:00,209.88991
CRM,2022-03-29,2022-03-29 19:00:00+00:00,221.52941
CRM,2022-04-05,2022-04-05 15:00:00+00:00,210.736937
CRM,2022-04-11,2022-04-11 20:00:00+00:00,195.449615
CRM,2022-04-18,2022-04-18 14:00:00+00:00,188.311529
CRM,2022-04-27,2022-04-27 19:00:00+00:00,174.949916
CRM,2022-04-28,2022-04-28 20:00:00+00:00,185.72682
CRM,2022-04-22,2022-04-22 16:00:00+00:00,172.997136
CRM,2022-05-02,2022-05-02 23:00:00+00:00,177.601256
CRM,2022-05-04,2022-05-04 16:00:00+00:00,177.327502
CRM,2022-05-09,2022-05-09 20:00:00+00:00,163.600041
CRM,2022-05-10,2022-05-10 18:00:00+00:00,169.963331
CRM,2022-05-11,2022-05-11 14:00:00+00:00,167.205996
CRM,2022-05-18,2022-05-18 20:00:00+00:00,157.327138
CRM,2022-05-26,2022-05-26 20:00:00+00:00,162.383079
CRM,2022-06-01,2022-06-01 16:00:00+00:00,175.765903
CRM,2022-06-24,2022-06-24 14:00:00+00:00,175.765903
BKNG,2021-12-30,2021-12-30 15:00:00+00:00,2389.214088
BKNG,2021-12-31,2021-12-31 15:00:00+00:00,2389.214088
BKNG,2022-01-18,2022-01-18 23:00:00+00:00,2380.19
BKNG,2022-02-09,2022-02-09 15:00:00+00:00,2605.964965
BKNG,2022-03-01,2022-03-01 15:00:00+00:00,2118.426675
BKNG,2022-03-02,2022-03-02 21:00:00+00:00,2163.52078
BKNG,2022-03-04,2022-03-04 16:00:00+00:00,1986.13034
BKNG,2022-03-11,2022-03-11 21:00:00+00:00,2017.413578
BKNG,2022-03-22,2022-03-22 14:00:00+00:00,2185.994686
BKNG,2022-03-23,2022-03-23 18:00:00+00:00,2159.338613
BKNG,2022-03-29,2022-03-29 19:00:00+00:00,2371.180099
BKNG,2022-04-05,2022-04-05 15:00:00+00:00,2308.039794
BKNG,2022-04-11,2022-04-11 20:00:00+00:00,2169.21
BKNG,2022-04-18,2022-04-18 14:00:00+00:00,2215.815329
BKNG,2022-04-27,2022-04-27 19:00:00+00:00,2256.118088
BKNG,2022-04-28,2022-04-28 20:00:00+00:00,2317.801602
BKNG,2022-04-22,2022-04-22 16:00:00+00:00,2241.210352
BKNG,2022-05-02,2022-05-02 23:00:00+00:00,2241.210352
BKNG,2022-05-04,2022-05-04 16:00:00+00:00,2020.322292
BKNG,2022-05-09,2022-05-09 20:00:00+00:00,2023.570546
BKNG,2022-05-10,2022-05-10 18:00:00+00:00,2067.111992
BKNG,2022-05-11,2022-05-11 14:00:00+00:00,2109.785808
BKNG,2022-05-18,2022-05-18 20:00:00+00:00,2050.379411
BKNG,2022-05-26,2022-05-26 20:00:00+00:00,2221.51
BKNG,2022-06-01,2022-06-01 16:00:00+00:00,2205.011877
BKNG,2022-06-24,2022-06-24 14:00:00+00:00,2205.011877
