eth_cust_address,address,chain,symbol,target_position_value,date_time,trade_id,date,delayed_trade_date_time,delayed_trade_date_closing_time,delayed_trade_date,timestamp,vwap,max_time_stamp,date_time_adj,ticker_date_time_rank,dta_rank,symbol_appearance_rank,dta_rank_prev,user_id,cash,usd_value,usd_value_prev,positions_usd,inception_return,gross_exposure_usd,long_exposure_usd,short_exposure_usd,net_exposure_usd,gross_exposure_percent,long_exposure_percent,short_exposure_percent,net_exposure_percent,gross_traded_usd,net_traded_usd,gross_traded_percent,net_traded_percent,unrealized_long_pnl,unrealized_short_pnl,unrealized_pnl,realized_long_pnl,realized_short_pnl,realized_pnl,total_long_pnl,total_short_pnl,total_pnl
0x594F56D21ad544F6B567F3A49DB0F9a7B501FF37,0x594F56D21ad544F6B567F3A49DB0F9a7B501FF37,SKL,SKLUSD,0,2022-03-04 15:31:30,26,2022-03-04,2022-03-04 14:30:00,2022-03-04 21:00:00,2022-03-04,2022-03-04 16:00:00+00:00,0.0,,2022-03-04 16:00:00+00:00,1,6.0,2.0,5.0,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
0x594F56D21ad544F6B567F3A49DB0F9a7B501FF37,0x594F56D21ad544F6B567F3A49DB0F9a7B501FF37,SKL,ETHUSD,0.15,2022-03-11 22:44:40,27,2022-03-11,2022-03-11 14:30:00,2022-03-11 21:00:00,2022-03-11,2022-03-11 21:00:00+00:00,2565.400515,2022-03-11 23:00:00+00:00,2022-03-11 21:00:00+00:00,1,7.0,5.0,6.0,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
0x594F56D21ad544F6B567F3A49DB0F9a7B501FF37,0x594F56D21ad544F6B567F3A49DB0F9a7B501FF37,SKL,UBER,0,2022-03-22 13:51:57,28,2022-03-22,2022-03-22 13:30:00,2022-03-22 20:00:00,2022-03-22,2022-03-22 14:00:00+00:00,0.0,,2022-03-22 14:00:00+00:00,1,8.0,2.0,7.0,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
0x594F56D21ad544F6B567F3A49DB0F9a7B501FF37,0x594F56D21ad544F6B567F3A49DB0F9a7B501FF37,SKL,BKNG,0,2022-03-22 13:51:57,29,2022-03-22,2022-03-22 13:30:00,2022-03-22 20:00:00,2022-03-22,2022-03-22 14:00:00+00:00,0.0,,2022-03-22 14:00:00+00:00,1,8.0,2.0,7.0,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
0x594F56D21ad544F6B567F3A49DB0F9a7B501FF37,0x594F56D21ad544F6B567F3A49DB0F9a7B501FF37,SKL,WE,0,2022-03-22 13:51:57,30,2022-03-22,2022-03-22 13:30:00,2022-03-22 20:00:00,2022-03-22,2022-03-22 14:00:00+00:00,0.0,,2022-03-22 14:00:00+00:00,1,8.0,2.0,7.0,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
0x594F56D21ad544F6B567F3A49DB0F9a7B501FF37,0x594F56D21ad544F6B567F3A49DB0F9a7B501FF37,SKL,CRM,0,2022-03-22 13:51:57,31,2022-03-22,2022-03-22 13:30:00,2022-03-22 20:00:00,2022-03-22,2022-03-22 14:00:00+00:00,0.0,,2022-03-22 14:00:00+00:00,1,8.0,2.0,7.0,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
0x594F56D21ad544F6B567F3A49DB0F9a7B501FF37,0x594F56D21ad544F6B567F3A49DB0F9a7B501FF37,SKL,COIN,0,2022-03-22 13:51:57,32,2022-03-22,2022-03-22 13:30:00,2022-03-22 20:00:00,2022-03-22,2022-03-22 14:00:00+00:00,0.0,,2022-03-22 14:00:00+00:00,1,8.0,2.0,7.0,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
0x594F56D21ad544F6B567F3A49DB0F9a7B501FF37,0x594F56D21ad544F6B567F3A49DB0F9a7B501FF37,SKL,MSFT,0,2022-03-22 13:51:57,33,2022-03-22,2022-03-22 13:30:00,2022-03-22 20:00:00,2022-03-22,2022-03-22 14:00:00+00:00,0.0,,2022-03-22 14:00:00+00:00,1,8.0,2.0,7.0,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
0x594F56D21ad544F6B567F3A49DB0F9a7B501FF37,0x594F56D21ad544F6B567F3A49DB0F9a7B501FF37,SKL,GRUB,0,2022-03-22 13:51:57,34,2022-03-22,2022-03-22 13:30:00,2022-03-22 20:00:00,2022-03-22,2022-03-22 14:00:00+00:00,0.0,,2022-03-22 14:00:00+00:00,1,8.0,2.0,7.0,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
0x594F56D21ad544F6B567F3A49DB0F9a7B501FF37,0x594F56D21ad544F6B567F3A49DB0F9a7B501FF37,SKL,TLT,0.1,2022-03-23 17:28:05,35,2022-03-23,2022-03-23 13:30:00,2022-03-23 20:00:00,2022-03-23,2022-03-23 18:00:00+00:00,0.0,,2022-03-23 18:00:00+00:00,1,9.0,1.0,8.0,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
