,trade_id,address,chain,symbol,target_position_value,entry_date_time,next_market_open,market_entry_date_time,market_entry_date,vwap,post_cumulative_share_count,realized_profit,prior_portfolio_value,current_position,prior_position_value,cash_used,share_count,prior_cumulative_share_count,adjusted_entry
1651,232,0xd019955e5Db68ebd41CE5A7A327DdD5f2658e8D9,SKL,DLTR,203.74941050713264,2022-03-09 17:05:19,2022-03-09 14:30:00,2022-03-09 18:00:00,2022-03-09,148.339397,1.3735353832342505,25.235593368074056,10187.470525356632,203.74941050713267,305.8058196594077,102.05640915227505,-0.6879926116477004,2.061527994881951,0.0
1658,233,0xd019955e5Db68ebd41CE5A7A327DdD5f2658e8D9,SKL,EWZ,509.3735262678316,2022-03-09 17:05:19,2022-03-09 14:30:00,2022-03-09 18:00:00,2022-03-09,34.162062,14.910502951134262,60.299058027581744,10187.470525356632,509.3735262678316,328.0313836676802,-181.34214260015142,5.308290307539147,9.602212643595115,0.0
1666,234,0xd019955e5Db68ebd41CE5A7A327DdD5f2658e8D9,SKL,SPGI,0.0,2022-03-09 17:05:19,2022-03-09 14:30:00,2022-03-09 18:00:00,2022-03-09,397.062678,0.0,0.0,10187.470525356632,0.0,193.0830592209144,193.0830592209144,-0.48627853968414125,0.48627853968414125,0.0
1673,235,0xd019955e5Db68ebd41CE5A7A327DdD5f2658e8D9,SKL,VALE,0.0,2022-03-09 17:05:19,2022-03-09 14:30:00,2022-03-09 18:00:00,2022-03-09,18.533393,0.0,0.0,10187.470525356632,0.0,180.27486653230864,180.27486653230864,-9.727029828391846,9.727029828391846,0.0
1681,236,0xd019955e5Db68ebd41CE5A7A327DdD5f2658e8D9,SKL,CME,0.0,2022-03-09 17:05:19,2022-03-09 14:30:00,2022-03-09 18:00:00,2022-03-09,230.97028,0.0,0.0,10187.470525356632,0.0,211.7462724097067,211.7462724097067,-0.9167684795191255,0.9167684795191255,0.0
1688,237,0xd019955e5Db68ebd41CE5A7A327DdD5f2658e8D9,SKL,FB,0.0,2022-03-09 17:05:19,2022-03-09 14:30:00,2022-03-09 18:00:00,2022-03-09,195.907658,1.1102230246251565e-16,0.0,10187.470525356632,0.0,184.4785721663426,184.4785721663426,-0.9416608521058558,0.9416608521058559,0.0
1695,238,0xd019955e5Db68ebd41CE5A7A327DdD5f2658e8D9,SKL,NG,203.74941050713264,2022-03-09 17:05:19,2022-03-09 14:30:00,2022-03-09 18:00:00,2022-03-09,7.524477,27.07821560317516,9.54989092249661,10187.470525356632,203.74941050713264,160.68668138798432,-43.062729119148315,5.723019569220335,21.355196033954826,0.0
1702,239,0xd019955e5Db68ebd41CE5A7A327DdD5f2658e8D9,SKL,TSM,101.87470525356632,2022-03-09 17:05:19,2022-03-09 14:30:00,2022-03-09 18:00:00,2022-03-09,105.180446,0.968570766980455,-5.515437124059648,10187.470525356632,101.87470525356632,172.71714396264105,70.84243870907473,-0.6735324045790291,1.642103171559484,0.0
1709,240,0xd019955e5Db68ebd41CE5A7A327DdD5f2658e8D9,SKL,AGRO,0.0,2022-03-09 17:05:19,2022-03-09 14:30:00,2022-03-09 18:00:00,2022-03-09,10.69079,0.0,0.0,10187.470525356632,0.0,140.86440608958338,140.86440608958338,-13.176239182472333,13.176239182472333,0.0
1716,241,0xd019955e5Db68ebd41CE5A7A327DdD5f2658e8D9,SKL,SQ,0.0,2022-03-09 17:05:19,2022-03-09 14:30:00,2022-03-09 18:00:00,2022-03-09,111.157475,0.0,0.0,10187.470525356632,0.0,144.16697825282696,144.16697825282696,-1.296961614617703,1.296961614617703,0.0
