,address,trades,date_time,chain,symbol,target_position_value
3,0x594F56D21ad544F6B567F3A49DB0F9a7B501FF37,FNF:0.05,2022-05-04 15:55:25,MATIC,FNF,0.05
4,0x594F56D21ad544F6B567F3A49DB0F9a7B501FF37,BTCUSDT:0.1,2022-05-09 20:40:05,MATIC,BTCUSDT,0.1
4,0x594F56D21ad544F6B567F3A49DB0F9a7B501FF37,ETHUSDT:0.12,2022-05-09 20:40:05,MATIC,ETHUSDT,0.12
5,0x594F56D21ad544F6B567F3A49DB0F9a7B501FF37,ETHUSDT:0.05,2022-05-10 17:30:44,MATIC,ETHUSDT,0.05
5,0x594F56D21ad544F6B567F3A49DB0F9a7B501FF37,BTCUSDT:0.05,2022-05-10 17:30:44,MATIC,BTCUSDT,0.05
6,0x594F56D21ad544F6B567F3A49DB0F9a7B501FF37,ETHUSDT:0,2022-05-11 13:39:10,MATIC,ETHUSDT,0
7,0x594F56D21ad544F6B567F3A49DB0F9a7B501FF37,TLT:0.16,2022-05-18 20:53:52,MATIC,TLT,0.16
8,0x594F56D21ad544F6B567F3A49DB0F9a7B501FF37,ETHUSDT:0.05,2022-05-26 20:23:14,MATIC,ETHUSDT,0.05
9,0x594F56D21ad544F6B567F3A49DB0F9a7B501FF37,FB:0.25,2022-06-01 15:18:13,MATIC,FB,0.25
10,0x594F56D21ad544F6B567F3A49DB0F9a7B501FF37,PLTR:0.06,2022-06-24 13:37:17,MATIC,PLTR,0.06
10,0x594F56D21ad544F6B567F3A49DB0F9a7B501FF37,ABNB:0.06,2022-06-24 13:37:17,MATIC,ABNB,0.06
10,0x594F56D21ad544F6B567F3A49DB0F9a7B501FF37,ARKK:0.03,2022-06-24 13:37:17,MATIC,ARKK,0.03
11,0x594F56D21ad544F6B567F3A49DB0F9a7B501FF37,ETHUSDT:0.04,2022-07-04 20:18:11,MATIC,ETHUSDT,0.04
11,0x594F56D21ad544F6B567F3A49DB0F9a7B501FF37,ARKK:0.032,2022-07-04 20:18:11,MATIC,ARKK,0.032
