,id,corporate_action_id,ca_type,ca_sub_type,initiating_symbol,initiating_original_cusip,target_symbol,target_original_cusip,record_date,cash,old_rate,new_rate,ex_date
94,e6c39f54-8c00-4a30-8110-e035948c2868,2327661,merger,merger_completion,FNWD,667516108,RYFL,78027P109,,20.14,1,0,2022-01-18
95,697a7a81-a23d-499e-85db-740229209f67,2327664,merger,merger_completion,FNWD,667516108,RYFL,78027P109,,0,1,0,2022-01-18
96,3cc9a0b3-e995-4a75-a188-385c30f8296a,2327614,merger,merger_completion,,,SC,80283M101,,41.5,1,0,
97,1eff749e-0df0-4575-b1b4-916289b59a7e,2327744,merger,merger_completion,,,GTS,896749108,,36,1,0,
98,ee868a5b-663e-4615-b64c-d4a6ef19f64f,2327733,merger,merger_completion,,,ZXAIY,16951E104,,1.08,1,0,
99,fc6f3f8a-3bed-49e6-a0fd-79a7f53dbfe5,2327731,merger,merger_completion,WBS,947890109,STL.PRA,046265401,,0,1,0,
100,9ed1b784-7af8-49f3-98fa-c785e38d08ca,2327972,merger,merger_completion,CEQP,456615103,OMP,67420T206,,0,1,0.87,
101,c4ca9419-59ff-4379-ba00-399264972209,2327985,merger,merger_completion,FIBK,32055Y201,GWB,391416104,,0,1,0.8425,
102,fe85951c-6cf9-413b-bbaa-e951ff332e95,2328213,merger,merger_completion,BCML,072199102,PEBN,69403V109,,0,1,1.0292,
103,b87c14ee-6f68-4723-8662-f99cc77e0747,2328210,merger,merger_update,BCML,072199102,PEBN,69403V109,,0,1,1.0292,
104,660ffddc-8080-4353-93f1-265bb09bb133,2328419,merger,merger_completion,,,GPBI,38115V103,,2.47,1,0,
105,2ce92cc5-333d-488a-abe2-75ebf44d325b,2328485,merger,merger_completion,,,VMAC,92840T107,,0,1,1,
106,c8563849-29be-4f03-8449-bd16dcfd648e,2328487,merger,merger_completion,,,VMACW,92840T115,,0,1,0,
107,52a63767-9cbf-4d3f-ae4e-7fc473c8a34e,2330042,merger,merger_completion,,,,,,0.17,1,0,
108,6bf4c99e-16b6-46b1-8e09-e814be38f00c,2330035,merger,merger_completion,AEM,008474108,KL,65158L106,,0,1,0.7935,
109,a32a2de6-c2ba-4123-8d0a-8ef2cc7fdaa1,2337653,merger,merger_completion,FMBH,320866106,,,,0,1,0,
110,27d89fa5-5f8d-4490-82a5-60cb17431017,2337523,merger,merger_completion,AMD,007903107,XLNX,983919101,,0,1,1.7234,
111,5535f999-02c8-4dc3-a2a8-58c51aa5a6d6,2337608,merger,merger_completion,VFL,928926104,VCF,92907B106,,0,1,1.0328,
112,bab87e79-4dad-4683-8e3d-0f105abe8fa7,2337609,merger,merger_completion,VFL,928926104,VMM,928923101,,0,1,0.9937,
113,db3b5eeb-039b-40aa-9207-3824b521216b,2338070,merger,merger_completion,,,PAEWW,38286G117,,0,1,0,
114,02b51b2f-1b5a-4c57-a985-db37b58e95f0,2338068,merger,merger_completion,,,PAE,38286G109,,10.05,1,0,
115,5348f1fb-349f-4358-b9ca-45cd31838c90,2338354,merger,merger_completion,,,IHC,453438103,,57,1,0,
116,30341e04-6212-4940-9f65-5a71f67789ad,2338362,merger,merger_completion,JSDA,48023P106,,,,0,1,1,
